,Unnamed: 0,label,text,label_num
0,605,confirmaffirm,"Confirmation Details
Trade Date
Securities Loan Confirmation of Bonds worth 8098807467 ARS
see the following attachment 
Confirmation statement.json",0
1,2349,settlementFailure,"Account#1242 Mandate Rejected
Provided Mandate is rejected
Trade Failure of 4480313042 MXN
see the following attachment 
Failure statement.msg",0
2,3624,confirmaffirm,"Confirmation Details
Trade Date
Trade Confirmation Affirmation of 2492829653 UZS
see the following attachment 
statement.txt",0
3,4685,settlementSuccess,"Account#1242 Settlement Cleared
Settlement is Cleared and parties have honored the amount
Trade Success of 417466954 SOS
see the following attachment 
Success statement.msg",1
4,2030,confirmaffirm,"MT 518
Settlement Date
Securities Loan Confirmation of Bonds worth 9651961591 IRR
see the following attachment 
statement.txt",0
5,2949,confirmletter,"Bank Confirm Letter
PFA the Confirmation Letter
see the following attachment 
confirmationstatement.msg",0
6,2793,confirmaffirm,"MT 515(FUNDS)
Trade affirmation Summary Report
Client Confirmation of Purchase or Sale (FUNDS) amounted to 1067337284 YER
see the following attachment 
Affirmation statement.msg",0
7,4185,settlementFailure,"Account#1242 Mandate Rejected
Insufficient funds in account projected for upcoming trade
Trade failed of 4191697328 ILS
see the following attachment 
Failed.json",1
8,2641,confirmaffirm,"MT 517
Trade affirmation Summary Report
Client Confirmation of Purchase or Sale (FUNDS) amounted to 5351590647 TRY
see the following attachment 
Affirmation statement.json",0
9,1870,settlementSuccess,"Account#1242 Settlement Completed
Settlement is Cleared and parties have honored the amount
Trade Success of 6749892534 GYD
see the following attachment 
successstatement.Json",0
10,4922,confirmaffirm,"MT 515
Trade Date
Securities Loan Confirmation of Bonds worth 4564706301 GGP
see the following attachment 
Confirmation statement.json",1
11,3799,settlementFailure,"Account#1242 Mandate Rejected
Insufficient funds in account projected for upcoming trade
Securities Loan Failed of Bonds worth 8359174787 CZK
see the following attachment 
Failedsettlement.txt",1
12,1488,confirmaffirm,"MT 517
Trade Date
Client Confirmation of Purchase or Sale (FUNDS) amounted to 2678969391 PLN
see the following attachment 
Affirmation statement.json",0
13,3948,settlementSuccess,"Account#1242 Settlement Succeeded
Settlement is complete. Please find the confirmation
Trade Success of 5793318280 GTQ
see the following attachment 
successstatement.Json",1
14,3418,confirmaffirm,"MT 516
Trade affirmation Summary Report
Trade Affirmation Confirmation of 6496328911 ANG
see the following attachment 
Affirmation statement.msg",0
15,4791,confirmletter,"Bank Confirm Letter
PFA the Confirmation Letter
see the following attachment 
Confirmation.txt",1
16,2643,confirmaffirm,"Confirmation Details
Trade affirmation Summary Report
Trade Confirmation Affirmation of 8753796415 IMP
see the following attachment 
Affirmation statement.json",0
17,3137,settlementFailure,"Account#1242 Mandate Rejected
Insufficient collateral value as per today's MTM (Mark to Market ) Statement
Trade failure of 7793479213 NIO
see the following attachment 
Failure statement.msg",0
18,1629,confirmaffirm,"Confirmation Details
Trade Date
Client Confirmation of Purchase or Sale (FUNDS) amounted to 5439071848 BAM
see the following attachment 
statement.txt",0
19,1858,settlementSuccess,"Account#1242 Settlement Cleared
Settlement is complete. Please find the confirmation
Trade success of 5691017705 SGD
see the following attachment 
SuccessSettlement.txt",0
20,3261,confirmaffirm,"Confirmation Details
Settlement Date
Trade Affirmation Confirmation of 4290716879 THB
see the following attachment 
Affirmation statement.msg",0
21,3447,settlementFailure,"Account#1242 Trade78780we Failed
Provided Mandate is rejected
Securities Loan Failed of Bonds worth 6994157709 EEK
see the following attachment 
Failure statement.msg",0
22,2459,confirmaffirm,"MT 515
Trade affirmation Summary Report
Trade Affirmation Confirmation of 4207091730 BWP
see the following attachment 
Affirmation statement.json",0
23,2221,settlementSuccess,"Account#1242 Settlement Completed
Settlement is Cleared and parties have honored the amount
Securities Loan success of Bonds worth 3756085841 AZN
see the following attachment 
Success.json",0
24,4827,confirmaffirm,"MT 515
Settlement Date
Securities Loan Confirmation of Bonds worth 4620409597 CUP
see the following attachment 
statement.txt",1
25,1811,confirmletter,"Confirmation of Funds certificate
PFA the Confirmation Letter
see the following attachment 
Confirmation.txt",0
26,2367,confirmaffirm,"MT 517
Settlement Date
Trade Confirmation Affirmation of 5496743624 BMD
see the following attachment 
statement.txt",0
27,2829,settlementFailure,"Account#1242 Trade78780we Failed
Provided Mandate is rejected
Trade Failure of 6579444374 ANG
see the following attachment 
Failure statement.msg",0
28,3512,confirmaffirm,"MT 515(FUNDS)
Settlement Date
Trade Affirmation Confirmation of 3467435269 MUR
see the following attachment 
Affirmation statement.json",0
29,441,settlementSuccess,"Account#1242 Settlement Successfull
Settlement is complete. Please find the confirmation
Trade completed of 4203743581 SEK
see the following attachment 
successstatement.Json",0
30,3403,confirmaffirm,"Confirmation Details
Trade Date
Trade Confirmation Affirmation of 1274955374 KHR
see the following attachment 
statement.txt",0
31,1746,settlementFailure,"Account#1242 Trade78780we Failed
Insufficient collateral value as per today's MTM (Mark to Market ) Statement
Trade failed of 5151776133 BWP
see the following attachment 
Failed.json",0
32,3551,confirmaffirm,"MT 515(FUNDS)
Trade affirmation Summary Report
Client Confirmation of Purchase or Sale (FUNDS) amounted to 3578567194 LTL
see the following attachment 
statement.txt",0
33,1054,settlementSuccess,"Account#1242 Settlement Completed
Settlement is Cleared and parties have honored the amount
Trade completed of 7874050206 AZN
see the following attachment 
Success statement.msg",0
34,282,confirmaffirm,"MT 517
Trade affirmation Summary Report
Trade Confirmation Affirmation of 2703987025 NOK
see the following attachment 
Affirmation statement.msg",0
35,4606,confirmletter,"Bank Confirm Letter
PFA the Confirmation Letter
see the following attachment 
Confirmation.json",1
36,890,confirmaffirm,"MT 518
Settlement Date
Trade Confirmation Affirmation of 2962766708 HNL
see the following attachment 
Affirmation statement.json",0
37,2313,settlementFailure,"Account#1242 Trade78780we Failed
Insufficient collateral value as per today's MTM (Mark to Market ) Statement
Trade failed of 9639194474 LAK
see the following attachment 
failurestatement.Json",0
38,154,confirmaffirm,"MT 518
Trade Date
Client Confirmation of Purchase or Sale (FUNDS) amounted to 9544254381 SEK
see the following attachment 
Confirmation statement.json",0
39,310,settlementSuccess,"Account#1242 Settlement Cleared
Settlement is Cleared and parties have honored the amount
Securities Loan success of Bonds worth 731322757 SRD
see the following attachment 
SuccessSettlement.txt",0
40,4167,confirmaffirm,"MT 517
Settlement Date
Trade Confirmation Affirmation of 3589554099 CAD
see the following attachment 
statement.txt",1
41,3881,settlementFailure,"Account#1242 Insufficient Funds
Provided Mandate is rejected
Trade Failure of 8675633229 BAM
see the following attachment 
Failure statement.msg",1
42,2951,confirmaffirm,"MT 517
Trade affirmation Summary Report
Securities Loan Confirmation of Bonds worth 4742163777 OMR
see the following attachment 
statement.txt",0
43,1778,settlementSuccess,"Account#1242 Settlement Completed
Settlement is done and parties have honored the amount
Trade Success of 826291766 GIP
see the following attachment 
Success statement.msg",0
44,348,confirmaffirm,"MT 517
Settlement Date
Client Confirmation of Purchase or Sale (FUNDS) amounted to 3869431312 BOB
see the following attachment 
Affirmation statement.json",0
45,1284,confirmletter,"Confirmation of Funds certificate
PFA the Confirmation Letter
see the following attachment 
confirmationstatement.msg",0
46,3947,confirmaffirm,"MT 517
Settlement Date
Trade Confirmation Affirmation of 2815975879 TRY
see the following attachment 
Affirmation statement.json",1
47,4417,settlementFailure,"Account#1242 Mandate Rejected
Insufficient collateral value as per today's MTM (Mark to Market ) Statement
Securities Loan Failed of Bonds worth 5949434622 CUP
see the following attachment 
Failure statement.msg",1
48,4572,confirmaffirm,"MT 517
Trade Date
Securities Loan Confirmation of Bonds worth 8593215756 TWD
see the following attachment 
statement.txt",1
49,577,settlementSuccess,"Account#1242 Settlement Cleared
Settlement is complete. Please find the confirmation
Securities Loan success of Bonds worth 8066422507 PLN
see the following attachment 
SuccessSettlement.txt",0
50,3928,confirmaffirm,"MT 517
Settlement Date
Client Confirmation of Purchase or Sale (FUNDS) amounted to 2095027595 BBD
see the following attachment 
statement.txt",1
51,2846,settlementFailure,"Account#1242 Trade78780we Failed
Provided Mandate is rejected
Trade failure of 3037664564 PEN
see the following attachment 
failurestatement.Json",0
52,3511,confirmaffirm,"MT 518
Trade Date
Client Confirmation of Purchase or Sale (FUNDS) amounted to 7620051413 KGS
see the following attachment 
Affirmation statement.msg",0
53,3439,settlementSuccess,"Account#1242 Settlement Completed
Settlement is complete. Please find the confirmation
Trade success of 5228257328 SOS
see the following attachment 
SuccessSettlement.txt",0
